Abbr,Definition,Sentence
IPT,institusi pendidikan tinggi,KUALA LUMPUR: Maybank diumumkan sebagai majikan pilihan utama graduan IPT pada Anugerah 100 Majikan Utama 2016.
TM,Tuanku Mizan,Kuala Lumpur: Kunjungan Badan Kebajikan Angkatan Tentera (BAKAT) ke Hospital Angkatan Tentera (HAT) TM di Wangsa Maju sempena Hari Angkatan Tentera Malaysia (ATM) ke-82 memberikan keceriaan dan semangat kepada pesara ATM yang menerima rawatan di hospital itu.
IPU,International Parliamentarian Union,Beliau ketika ini Setiausaha Hal Ehwal Antarabangsa DAP Pusat serta Ahli Jawatankuasa IPU Malaysia.
EDL,Eastern Dispersal Link,"Perdana Menteri, Datuk Seri Najib Razak ketika membentangkan Bajet 2018 di Dewan Rakyat minggu lalu, mengumumkan pemansuhan kutipan empat tol, termasuk di EDL , Johor, mulai 1 Januari 2018."
UKK,Unit Kawalan Keselamatan,"Alor Setar: Tiga suspek termasuk seorang wanita ditahan polis selepas mengaku menyimbah asid terhadap seorang anggota Pertubuhan UKK Kota Setar di sebuah premis terbiar di Jalan Sungai Korok, di sini, kelmarin."
APC,Anugerah Perkhidmatan Cemerlang,"Terdahulu beliau menyampaikan APC 2014 kepada Pegawai Kanan Polis, Pegawai Rendah Polis dan Pegawai Awam, di sini hari ini."
PPM,Pusat Pengaman Malaysia,"Saya juga turut memantau, katanya pada sidang media Majlis Pembukaan Bengkel Interaksi Ketenteraan Awam 2015 di PPM di sini, hari ini."
DPP,Dewan Penginapan Pelajar,"NAIB Canselor UUM, Prof. Datuk Mohamed Mustapha Ishak beramah mesra dengan ahli keluarga pelajar yang hadir pada Pendaftaran Pengambilan Pelajar Baru UUM 2014/2015 di DPP Petronas, UUM, hari ini."
SSHP,Sampul Surat Hari Pertama,"Dua produk filateli lain seperti SSHP , termasuk risalah percuma, berharga 55 sen setiap satu dan Lembaran Mini (LM) yang menampilkan pelbagai jenis setem turut dijual pada harga RM5 setiap satu."
PSSTLDM,Pasukan Simpanan Sukarela TLDM,"Terdahulu, Chong Wei ditemui pemberita selepas majlis pemakaian pangkat kepada 41 pegawai dan anggota Tentera Laut Diraja Malaysia (TLDM) dan PSSTLDM di sini, hari ini."
A,ARENA, A : Sejauh mana pentingnya kejuaraan Piala Malaysia kepada anda?
GBM,Generasi Bersatu Malaysia,"Tya adalah model dan juga pelakon terkenal di negara jiran, manakala Asyraf pengasas organisasi GBM ."
MRA,Modular Rear Architecture,Model pertama Mercedes-Benz yang menggunakan platform MRA itu memiliki karakter sporty selain tampak lebih dinamik selepas ia digabungkan kit badan AMG membabitkan bampar hadapan dan belakang supaya ia kelihatan garang.
SPS,Seberang Perai Selatan,"Manakala Mohd Yusof yang juga Sarjan Mejar di Bahagian Jenayah Ibu Pejabat Polis Daerah (IPD) SPS dituduh memperoleh dua suapan RM2,000 daripada Mohd Hasfikin Mohd Said sebagai dorongan membantu menutup kes yang disiasat mengikut Seksyen 384 Kanun Keseksaan."
MAT,Majlis Angkatan Tentera,Peguam Kanan Persekutuan M Kogilanbigamil hadir bagi pihak responden pertama (UPNM) dan MAT (responden kedua) yang dinamakan sebagai responden dalam permohonan itu.
PNGK,Purata Nilai Gred Komulatif,"Saya dapat lihat kesungguhannya apabila dia sentiasa mengekalkan kedudukan teratas dalam peperiksaan di sekolah malah ketika di universiti, Muhamad Saiful memperoleh PNGK 4."
PJM,Pingat Jasa Malaysia,"Saya harap apa juga yang berkaitan veteran kita boleh lihat semula,katanya pada Majlis Penganugerahan PJM Peringkat Negeri Perak hari ini."
HS,Heamoragic Septicaemia,SEBANYAK 245 kes ternakan seperti kerbau dan lembu mati akibat dijangkiti penyakit HS atau hawar berdarah di Kuala Terengganu dan Marang sejak 26 Mei lalu.
DIAN,Daulatkan Islam Agama Negara,"AHMAD Zahid merasmikan pelancaran Puteri DIAN sempena Perhimpunan Agung UMNO 2015 di PWTC, hari ini."
YPU,Yayasan Perdana Ummah,"Pengerusi YPU Datuk Rizal Mansor berkata, pihaknya berbesar hati diberi amanah untuk membawa penggiat seni ke umrah yang majoriti mereka belum pernah Makkah."
KSM,Kementerian Sumber Manusia,"Ketua Setiausaha Negara Tan Sri Dr Ali Hamsa berkata, antara kementerian terbabit termasuk Kementerian Pertanian dan Industri Asas Tani, Kementerian Pertahanan, Kementerian Perdagangan Dalam Negeri, Koperasi dan Kepenggunaan (KPDNKK) , Kementerian Kerja Raya, Kementerian Dalam Negeri (KDN) , KSM , Kementerian Pengajian Tinggi (KPT) , Kementerian Kesihatan Malaysia (KKM) , Kementerian Kemajuan Luar Bandar dan Wilayah (KKLW) , Kementerian Pendidikan dan Unit Kerjasama Awam Swasta (UKAS) , Jabatan Perdana Menteri."
TTB,Transformasi Terengganu Baharu,DUNGUN: Kerajaan Terengganu melahirkan rasa bangga terhadap komitmen yang diberikan Puteri UMNO dari negeri ini ketika menyertai sukarelawan TTB ke Kelantan baru-baru ini.
KVP,Klang Valley Phanters,Kuala Lumpur: KVP FC yang bakal menyertai Liga Kastam Diraja Malaysia (KDRM) 2015 bermula Mac ini mensasarkan misi tampil secara pasukan profesional dalam masa dua tahun akan datang.
BHB,BIMB Holdings Berhad,KUALA LUMPUR: BHB baru-baru ini meraih tiga anugerah berprestij yang mencerminkan kecemerlangan syarikat berkenaan dalam operasi perniagaan dan sumbangannya kepada industri kewangan.
SMT,Sandvik Materials Technology,"Kuala Lumpur: SMT , pencipta dan pengeluar keluli, aloi khas, titanium dan bahan berprestasi tinggi memperkenalkan sistem tiub Sandvik SAF 3207 yang berkeupayaan beroperasi di bawah paras 3,000 meter laut sebagai langkah pengukuhan strategi pasarannya di negara ini."
PABM,Pidato Antarabangsa Bahasa Melayu,Foto Rosela Ismail KUALA LUMPUR: Seramai 47 peserta dari seluruh dunia menyertai pertandingan PABM Piala Perdana Menteri edisi ke-10 yang berlangsung hari ini hingga 25 Mac ini.
RDM,Road Departure Mitigation,"Teknologi Honda SENSING adalah untuk membantu pemanduan lebih selamat dan selesa serta merangkumi enam fungsi iaitu Adaptive Cruise Control (ACC) , Forward Collision Waring (FCW) , Collision Mitigation Braking System (CMBS) , Lane Keep Assist System (LKAS) , RDM dan Lane Departure Waring (LDW) ."
PTD,Perkhidmatan Tadbir dan Diplomatik,"PUTRAJAYA: Pegawai PTD harus ada keserasian emotional bonding (emosional) dan misi yang sama dengan pemimpin politik bagi memastikan keunggulan urus tadbir negara, kata Perdana Menteri, Datuk Seri Najib Razak."
APC,Asia Pasific Cup,"Pencapaian paling tinggi saya kecapi menerusi kejohanan APC tahun 2014 di Hong Kong apabila berjaya merangkul tempat pertama dan melayakkan saya menduduki ranking nombor satu peringkat Asia ketika itu, katanya."
KMM,Kumpulan Mujahidin Malaysia,"Beliau berkata, Mohd Rafi juga adalah ahli KMM yang pernah ditahan mengikut Akta Keselamatan Dalam Negeri (ISA) ."
DVM,Digital Video Manager,"Teknologi yang digunakan antara lain termasuk Sistem Pengurusan Bangunan Terbuka Honeywell ComfortPoint; Sistem Enterprise Buildings Integrator (EBI) R500 Honeywell; DVM R620, dan sistem akses kawalan Temaline, katanya."
PBBM,Persekutuan Bola Baling Malaysia,"Presiden PBBM , Pandak Ahmad berkata pasukan negara yang membabitkan kombinasi muka lama dan muka baharu itu, dijangka mampu memberi cabaran hebat kepada juara bertahan itu."
IPT,institusi pendidikan tinggi,"REKTOR UiTM Cawangan Arau, Prof Datuk Dr Ahmad Redzuan Abd Rahman (kiri) mengucapkan tahniah kepada Ketua Jurulatih Pasukan Bolasepak UiTM Perlis Divisyen 1, Manja Man (kanan) pada Majlis Memperkenalkan Pasukan Divisyen 1 Liga Institut Pendidikan Tinggi (IPT) 2015 UiTM dekat sini, hari ini."
UKK,Unit Komunikasi Korporat,Orang ramai diminta supaya merujuk kepada UKK di talian 03-27714613/4623 atau emel: pro@kkr.
PMB,Pelaburan MARA Bhd,Putrajaya: Tan Sri Annuar Musa yang dinasihatkan bercuti sementara sebagai Pengerusi Majlis Amanah Rakyat (MARA) dan PMB mengakui langsung tidak tertekan dengan dakwaan penyelewengan dan salah guna kuasa yang dikaitkan dengan dirinya.
FIC,Frenz International Cup,"Usaha FUFC menganjurkan kejohanan di peringkat tempatan dan antarabangsa, termasuk Asian Champions Trohy (ACT) dan FIC boleh menjadi platform untuk melonjakkan pemain muda ke tahap lebih tinggi."
PPTD,Perkhidmatan Pegawai Tadbir Diplomatik,"PUTRAJAYA: Perdana Menteri, Datuk Seri Najib Razak malam ini menghadiri majlis rumah terbuka Semarak Aidilfitri anjuran Persatuan PPTD di Menara Seri Wilayah, Kementerian Wilayah Persekutuan di sini."
DIS,Darul Islam Sabah,"Kuala Lumpur: Selain bekas pensyarah Universiti Malaya (UM) Dr Mahmud Ahmad, dua pengikut DIS iaitu Mohd Amin Baco dan Jeknal Adil bakal menggantikan Isnilon Hapilon."
SKUM,Suruhanjaya Kebangsaan UNESCO Malaysia,"Menteri Pendidikan Datuk Mahdzir Khalid merangkap Presiden SKUM berkata, selain pantun, dua lagi warisan kebudayaan iaitu Dondang Sayang dan Pesta Wangkang turut dicalonkan ke UNESCO."
SMPC,Sekolah Menengah Persendirian Cina,"KUALA LUMPUR: Dewan Bahasa dan Pustaka (DBP) menyokong pendirian kerajaan, khususnya Kementerian Pendidikan yang tidak mengiktiraf Sijil Peperiksaan Bersepadu (UEC) yang diguna pakai dalam sistem pendidikan sekolah menengah persendirian Cina (SMPC) ."
PSKLM,Persatuan Syarikat-Syarikat Konsesi Lebuhraya Malaysia,"Namun pengumuman itu akan dibuat sendiri oleh pihak PSKLM , katanya."
LEAP,Leading Entrepreneur Accelerator Platform,KUALA LUMPUR: Datuk Seri Najib Razak hari ini melancarkan Pasaran LEAP .
BN,Boustead Naval,"Lumut: Kapal tempur persisir (LCS) tercanggih pertama milik Tentera Laut Diraja Malaysia (TLDM) yang dinamakan kapal Maharaja Lela dilancarkan di dermaga BN Shipyard di Pangkalan TLDM Lumut, di sini, semalam."
PMB,Pelaburan MARA Bhd,Jawatan beliau sebagai Pengerusi Pelaburan Mara Bhd (PMB) juga digantung berkuat kuasa tarikh sama.
PAP,Plus Asiajaya Perak,"Menurutnya, sebarang bentuk tindakan terhadap pengendali kapal muzium iaitu syarikat PAP turut berpandukan kepada laporan diperoleh kelak."
CSA,China Southern Airlines,"Penerbangan pesawat milik CSA itu dijangka berlepas dari bandar Guangzhou kira-kira jam 8 pagi dan akan mendarat di Lapangan Terbang Antarabangsa Melaka (LTAM) , Batu Berendam, di sini, tepat jam 12."
SFC,Sarawak Forestry Corporation,"KANOWIT: Operasi risikan hampir lima jam membawa kejayaan kepada Polis Diraja Malaysia (PDRM) dan SFC menumpaskan sindiket pembalakan haram, Ahad lalu, dipercayai antara yang paling aktif di wilayah tengah negeri ini."
MIA,Malaysia Institute of Art,Suasana pusat beli-belah ini berseri dengan hasil kreatif dari botol yang dikitar semula oleh MIA dan Yayasan Tzu Chi Malaysia.
SIT,Start In Tioman,PESERTA bergambar pada program SIT 2016 siri ketujuh baru-baru ini.
JKNS,Jabatan Keretapi Negeri Sabah,"SEORANG lagi pemilik syarikat kontraktor ditahan reman selama lima hari bermula hari ini, bagi membantu siasatan Suruhanjaya Pencegahan Rasuah Malaysia (SPRM) berhubung kes rasuah dan salah guna kuasa membabitkan JKNS ."
PLPP,Pusat Latihan Perindustrian dan Pemulihan,"Beliau berkata demikian dalam sidang media selepas menyempurnakan Majlis Perasmian Bulan Kebajikan Negara 2017 di PLPP Bangi, hari ini."
MKN,Majlis Keselamatan Negeri,"Setiausaha MKN Perak, Jasimi Zainol Abdin berkata, seramai 180 penduduk dari 55 keluarga di daerah Hulu Perak terpaksa dipindahkan selepas kediaman mereka dinaiki air."
RS,Revolution Stage,"Tanpa sedar, kumpulan teater RS yang ditubuhkan pada 2006 kini sudah menginjak usia 12 tahun di pentas teater tanah air."
PAT,Pesta Angin Timur,Arau: Penganjuran PAT 2017 dilihat berjaya mengangkat sektor pelancongan budaya di negeri Perlis serta mampu meningkatkan kesedaran masyarakat mengenai nilai seni warisan lampau.
IRF,Islamic Renaissance Front,"Difahamkan, Dr Munim membuat kenyataan berkenaan pada sesi dialog Scriptural Polemics: The Quran and Other Religions anjuran dua pertubuhan bukan kerajaan (NGO) , IRF dan G25 di sini pada 20 ogos lalu."
PSP,Premier SME Partner,"Kuala Lumpur: Exabytes Network Sdn Bhd (Exabytes) , Exabytes dilantik menyertai Google AdWords PSP di Malaysia."
MOM,Malaysia Olimpik Malaysia,"Senarai ini akan dikemukakan pada mesyuarat MOM untuk kelulusan sebelum pengumuman dibuat dalam masa terdekat, katanya kepada pemberita selepas mempengerusikan mesyuarat kedua pengurus pasukan Sukan SEA, di sini hari ini."
MPSM,Majlis Pengetua Sekolah Malaysia,"Persidangan anjuran IAB dengan kerjasama MPSM dan Majlis Guru Besar (MGB) itu disertai 307 peserta tempatan dan antarabangsa dari 10 negara termasuk Maldives, Russia, Kazakhstan, Turki, Singapura, India, Pakistan, Filipina, UAE dan Arab Saudi."
MUFC,Manchester United Football Club,"Menurutnya, TM akan sekali lagi bekerjasama dengan Persatuan Bolasepak Malaysia (FAM) , Kementerian Pendidikan (MOE) , Majlis Sukan Negara (MSN) dan juga MUFC bagi menjayakan program MR5 ini."
TM,Taekwondo Malaysia,"Hadir sama, Menteri di Jabatan Perdana Menteri Datuk Seri Azalina Othman Said, Yang Dipertua Dewan Negara Tan Sri S Vigneswaran yang juga Presiden TM , Timbalan Presiden TM Datuk Mohd Nazifuddin Najib dan Presiden WTF Dr Chungwon Choue."
PCM,Program Citarasa Malaysia,"Malah pihak kami sudah berbincang dengan beberapa syarikat seperti pengeluar lampin pakai buang agar memberikan harga lebih murah di kedai berkenaan, katanya pada sidang media selepas merasmikan Majlis Penutup PCM 2017 di Sri Pentas, Bandar Utama, di sini, hari ini."
BSM,Bible Society Malaysia,More controversy arose with the seizure of Bibles from the premises of the BSM this year.
KPP,Kurikulum Pendidikan Pemandu,"KUALA LUMPUR: Jabatan Pengangkutan Jalan (JPJ) akan mengeluarkan buku teks KPP secara digital (e-KPP) bermula Mac depan, bagi mengatasi kekurangan bahan rujukan terbabit."
MIA,Malaysian Institute of Accountants,"Beliau memegang Ijazah Sarjana dalam bidang Pengurusan Perniagaan (Kewangan) dari Universiti Kebangsaan Malaysia dan adalah Felo bagi Association of Chartered Certified Accountants (ACCA) United Kingdom serta seorang Akauntan Bertauliah, MIA ."
PBS,Persatuan Bomba Sukarela,"Operasi mencari dan menyelamat (SAR) yang disertai Jabatan Bomba dan Penyelamat Malaysia, Polis Diraja Malaysia, Lembaga Sungai-Sungai, PBS Belaga, Angkatan Pertahanan Awam Malaysia serta penduduk kampung ditamatkan pada jam 8."
KKM,Koir Kebangsaan Malaysia,Konsert yang dijayakan oleh KKM di bawah pimpinan Syafinaz Selamat selaku Pengarah Vokal dan Pengarah Persembahan menjadi bukti penghormatan terbesar negara terhadap seniman kelahiran Pulau Pinang itu.
HPP,High Profile Policing,SHAH ALAM: Program HPP akan diadakan setiap minggu ataupun sekurang-kurangnya sekali dalam sebulan dalam usaha mendekati masyarakat.
KPT,Kementerian Pendidikan Tinggi,"Putrajaya: Seorang pegawai kanan KPT cedera selepas kenderaan kerajaan dipandunya terbabas di Persiaran Perdana berhampiran susur keluar Desa Pinggiran Putra di sini, hari ini."
CE,Cipta Ekspres,Program CE anjuran Badan Pelindung Hakcipta Karyawan Muzik Malaysia (MACP) tidak pernah gagal membawa matlamat melahirkan lagu berkualiti.
PAN,Parti Amanah Nasional,Dalam PAS berlaku perpecahan sehingga wujud PAN .
JPN,Jabatan Perumahan Negara,"Jawatankuasa ini dijalankan secara Strategi Lautan Biru Kebangsaan (NBOS) yang akan berkuat kuasa esok dan dipengerusikan Ketua JPN , K Jayaselan."
KTP,Kad Tanda Penduduk,Jakarta: Majlis Ulama Indonesia (MUI) menolak cadangan menghapuskan maklumat agama pada KTP kerana menganggap ia penting untuk kehidupan berbangsa dan bernegara.
DJBS,Darjah Jasa Bintang Sarawak,"Abdul Taib turut menganugerahkan DJBS yang membawa gelaran Datu kepada Pengarah Pertanian Sarawak, Lai Kui Fong; Akauntan Negeri, Jumastapha Lamat; dan Hakim Mahkamah Bumiputera Sarawak, Thomas Akin Jelimin."
MAS,Monetary Authority of Singapore,"Sebaliknya, SGX adalah badan kawal selia barisan hadapan yang pada masa sama dikawal oleh bank pusat, MAS ."
IRF,Islamic Research Foundation,"Pada tahun 1991, beliau mula bekerja dalam bidang dakwah, dan mengasaskan IRF ."
HM,Harian Metro,"Shah Alam : Sejak menerima liputan HM dan berpindah ke rumah baru minggu lalu, kami tidak putus menerima kunjungan orang ramai termasuk penduduk setempat yang prihatin menghulurkan pelbagai sumbangan dan bantuan."
JKN,Jabatan Kesihatan Negeri,"Antara kontinjen yang menyertai perbarisan berkenaan ialah Majlis Bandaraya Ipoh (MBI) , Polis Diraja Malaysia (PDRM) , Universiti Pendidikan Sultan Idris (UPSI) dan JKN Perak."
JPAM,Jabatan Pertahanan Awam Malaysia,"Berikutan itu, operasi mencari dan menyelamat dilancarkan membabitkan 40 anggota bomba bersama polis, JPAM , Agensi Penguatkuasaan Maritim Malaysia (APMM) , bomba sukarela dan penduduk kampung terbabit dalam operasi itu."
PMR,Pemaju Masyarakat RISDA,"MOHD dua dari kanan (Shafie) menyampaikan cek sumbangan khairat kematian kepada Abdul Rahman Yahya (kiri) sambil diperhatikan Wan Mohamad Zuki (tengah) ; Ketua Pengarah KEMAS, Datuk Hasan Md Amin (dua dari kiri) dan Timbalan Ketua Setiausaha Kementerian Kemajuan Luar Bandar dan Wilayah, Datuk Ahmad Zubir Abdul Ghani (kanan) , pada Majlis Penyampaian Watikah Pelantikan PMR di Institut Kemajuan Desa (INFRA) , Bangi, baru-baru ini."
PBB,Parti Bulan Bintang,"Selain Ahmad Dhani, nama lain yang dikatakan akan turut menjadi calon dalam pilihan raya berkenaan ialah Adyaksa Dault, Sandiaga Uno, dan bekas pengerusi PBB Yusri Ihza Mahendra."
SKS,Sekolah Kebangsaan Serdang,"Seremban: SKS Rantau Negeri Sembilan mempamerkan peningkatan prestasi apabila menewaskan Sekolah Kebangsaan Kompleks Sultan Abu Bakar (SKSAB) Johor Bahru, 5-2 untuk muncul juara kategori lelaki Kejohanan Bola Baling Kebangsaan Zon Selatan 2014."
DT,Darul Tazim,"Selepas mara sehingga ke separuh akhir, Amirul Azhan yang lebih dikenali sebagai An dalam kalangan kenalan, yakin pemain Perak tidak akan menyerah mudah apabila turun membuat perhitungan dengan Johor Johor DT dalam pertemuan separuh akhir pertama di Stadium Perak, esok."
JPT,Jabatan Pendidikan Tinggi,"Ketua Pengarah Pendidikan Tinggi, JPT , Datuk Profesor Dr Asma Ismail, berkata sebanyak 58,011 permohonan diterima dan daripada jumlah itu sebanyak 54,618 (94.2 peratus) adalah calon yang layak dan melepasi Syarat Am Universiti serta Syarat Khas Program Pengajian."
OSTWA,Operasi Saman Tertunggak Warga Asing,"Ketua Polis Johor Datuk Wan Ahmad Najmuddin Mohd berkata, dakwaan yang diviralkan menerusi media sosial Facebook (FB) dan aplikasi WhatsApp itu berkemungkinan operasi saman tertunggak warga asing (OSTWA) yang dijalankan cawangan trafik Johor dan Bukit Aman, tahun lalu."
SKMM,Suruhanjaya Komunikasi dan Multimedia Malaysia,Hasil pengamatan wartawan mendapati sindiket antarabangsa melantik ratusan ejen ataupun bookie bagi mengutip pertaruhan di seluruh negara menerusi beberapa laman web yang masih belum disekat SKMM .
PKDK,Pertubuhan Kerabat Diraja Kelantan,Kota Bharu: PKDK mengesan terdapat pihak yang aktif menyalahgunakan nama Yang di-Pertuan Agong ke-15 untuk penipuan darjah kebesaran.
HMCC,Harian Metro Cycling Club,Kuala Lumpur: Harian Metro bersama 30 ahli HMCC berlepas ke Temerloh bagi membantu mangsa banjir melalui Konvoi Misi Bantuan malam tadi.
